"Time_Period","EXR_SDR_USD"
"2006-01","2.74"
"2006-02","2.74"
"2006-03","2.74"
"2006-04","2.745"
"2006-05","2.745"
"2006-06","2.745"
"2006-07","2.745"
"2006-08","2.745"
"2006-09","2.745"
"2006-10","2.745"
"2006-11","2.745"
"2006-12","2.745"
"2007-01","2.745"
"2007-02","2.745"
"2007-03","2.745"
"2007-04","2.745"
"2007-05","2.745"
"2007-06","2.745"
"2007-07","2.745"
"2007-08","2.745"
"2007-09","2.745"
"2007-10","2.745"
"2007-11","2.745"
"2007-12","2.745"
"2008-01","2.745"
"2008-02","2.745"
"2008-03","2.745"
"2008-04","2.745"
"2008-05","2.745"
"2008-06","2.745"
"2008-07","2.745"
"2008-08","2.745"
"2008-09","2.745"
"2008-10","2.745"
"2008-11","2.745"
"2008-12","2.745"
"2009-01","2.745"
"2009-02","2.745"
"2009-03","2.745"
"2009-04","2.745"
"2009-05","2.745"
"2009-06","2.745"
"2009-07","2.745"
"2009-08","2.745"
"2009-09","2.745"
"2009-10","2.745"
"2009-11","2.745"
"2009-12","2.745"
"2010-01","2.745"
"2010-02","2.745"
"2010-03","2.745"
"2010-04","2.745"
"2010-05","2.745"
"2010-06","2.745"
"2010-07","2.745"
"2010-08","2.745"
"2010-09","2.745"
"2010-10","2.745"
"2010-11","2.745"
"2010-12","2.745"
"2011-01","3.3"
"2011-02","3.3"
"2011-03","3.3"
"2011-04","3.3"
"2011-05","3.3"
"2011-06","3.3"
"2011-07","3.3"
"2011-08","3.3"
"2011-09","3.3"
"2011-10","3.3"
"2011-11","3.3"
"2011-12","3.3"
"2012-01","3.3"
"2012-02","3.3"
"2012-03","3.3"
"2012-04","3.3"
"2012-05","3.3"
"2012-06","3.3"
"2012-07","3.3"
"2012-08","3.3"
"2012-09","3.3"
"2012-10","3.3"
"2012-11","3.3"
"2012-12","3.3"
"2013-01","3.3"
"2013-02","3.3"
"2013-03","3.3"
"2013-04","3.3"
"2013-05","3.3"
"2013-06","3.3"
"2013-07","3.3"
"2013-08","3.3"
"2013-09","3.3"
"2013-10","3.3"
"2013-11","3.3"
"2013-12","3.3"
"2014-01","3.3"
"2014-02","3.3"
"2014-03","3.3"
"2014-04","3.3"
"2014-05","3.3"
"2014-06","3.3"
"2014-07","3.3"
"2014-08","3.3"
"2014-09","3.3"
"2014-10","3.3"
"2014-11","3.3"
"2014-12","3.3"
"2015-01","3.3"
"2015-02","3.3"
"2015-03","3.3"
"2015-04","3.3"
"2015-05","3.3"
"2015-06","3.3"
"2015-07","3.3"
"2015-08","3.3"
"2015-09","3.3"
"2015-10","3.3"
"2015-11","4"
"2015-12","4"
"2016-01","4"
"2016-02","4"
"2016-03","5.109"
"2016-04","5.452"
"2016-05","6.796"
"2016-06","7.0785"
"2016-07","7.2095"
"2016-08","7.464"
"2016-09","7.6625"
"2016-10","7.011"
"2016-11","7.325"
"2016-12","7.42"
"2017-01","7.51"
"2017-02","7.542"
"2017-03","7.55"
"2017-04","7.547"
"2017-05","7.528"
"2017-06","7.5"
"2017-07","7.46"
"2017-08","7.44"
"2017-09","7.44"
"2017-10","7.45"
"2017-11","7.45"
"2017-12","7.46"
"2018-01","7.47"
"2018-02","7.47"
"2018-03","7.47"
"2018-04","7.47"
"2018-05","7.47"
"2018-06","7.47"
"2018-07","7.46"
"2018-08","7.46"
"2018-09","7.46"
"2018-10","7.46"
"2018-11","7.46"
"2018-12","7.46"
"2019-01","7.46"
"2019-02","7.46"
"2019-03","7.46"
"2019-04","7.46"
"2019-05","7.46"
"2019-06","7.46"
"2019-07","7.46"
"2019-08","7.46"
"2019-09","7.46"
"2019-10","7.46"
"2019-11","7.46"
"2019-12","7.46"
"2020-01","7.46"
"2020-02","7.46"
"2020-03","7.46"
"2020-04","7.46"
"2020-05","7.46"
"2020-06","7.46"
"2020-07","7.46"
"2020-08","7.46"
"2020-09","14.154"
"2020-10","14.154"
"2020-11","14.154"
"2020-12","14.154"
"2021-01","14.154"
"2021-02","14.154"
"2021-03","16.145"
"2021-04","16.145"
"2021-05","16.145"
"2021-06","21.1015"
"2021-07","21.373"
"2021-08","21.441000000000003"
"2021-09","21.445"
"2021-10","21.548441263089"
